# MEAN_SAMPLE_SIZE = 250665
# TOTAL_GENES = 15721
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, samplesize, log_samplesize, inverse_mac, log_inverse_mac
COVAR                      OBS_GENES       BETA   BETA_STD         SE            P
HC_14.1                        15721     0.0338     0.0371     0.0109   0.00095907
HC_15.1                        15721    -0.0101    -0.0113     0.0107      0.82865
HC_15.2                        15721   -0.00456    -0.0049     0.0111      0.66001
HC_16.1                        15721   -0.00613    -0.0067     0.0108      0.71406
HC_16.2                        15721    0.00139    0.00151      0.011      0.44946
HC_17.1                        15721    -0.0143    -0.0153      0.011       0.9019
HC_2.1                         15721     0.0919     0.0998      0.011   2.9889e-17
HC_2.2                         15721     0.0911     0.0982      0.011   8.3632e-17
HC_2.3                         15721     0.0931     0.0998     0.0111    3.342e-17
HC_2.4                         15721      0.097      0.105      0.011   4.7202e-19
HC_2.5                         15721     0.0861     0.0945     0.0108    1.083e-15
HC_2.6                         15721     0.0843     0.0937     0.0107   1.6086e-15
HC_2.7                         15721     0.0842     0.0935     0.0107   1.9679e-15
HC_3.1                         15721     0.0749     0.0796     0.0112   1.4403e-11
HC_3.10                        15721     0.0932      0.102     0.0108   4.0998e-18
HC_3.11                        15721     0.0882     0.0952      0.011   7.1844e-16
HC_3.2                         15721     0.0802      0.089     0.0107   3.3796e-14
HC_3.3                         15721     0.0868     0.0946     0.0109   8.8612e-16
HC_3.6                         15721     0.0721     0.0792     0.0109   1.7627e-11
HC_3.7                         15721     0.0679     0.0749     0.0108   1.6857e-10
HC_3.8                         15721     0.0776     0.0842      0.011   7.6093e-13
HC_3.9                         15721     0.0822     0.0871     0.0113   1.5153e-13
HC_4.1                         15721     0.0617     0.0703     0.0104   1.5644e-09
HC_4.2                         15721     0.0719     0.0793     0.0108   1.2483e-11
HC_5.1                         15721     0.0941      0.106     0.0105   1.7467e-19
HC_5.10                        15721      0.101      0.108     0.0111   6.8443e-20
HC_5.11                        15721     0.0921      0.102     0.0107   3.7331e-18
HC_5.12                        15721     0.0937      0.101     0.0111   1.6357e-17
HC_5.14                        15721      0.104      0.116     0.0107   1.5162e-22
HC_5.15                        15721      0.112      0.122     0.0109   4.2251e-25
HC_5.2                         15721     0.0972      0.107     0.0107   8.7625e-20
HC_5.3                         15721     0.0874     0.0976     0.0106   9.1514e-17
HC_5.4                         15721      0.101      0.113     0.0106   7.4405e-22
HC_5.5                         15721      0.118      0.126     0.0111   1.1344e-26
HC_5.6                         15721     0.0952      0.106     0.0107   2.8139e-19
HC_5.7                         15721     0.0957      0.105     0.0109   6.8547e-19
HC_5.8                         15721     0.0965      0.104      0.011   1.1124e-18
HC_5.9                         15721      0.112      0.121      0.011   2.0501e-24
HC_6.1                         15721     0.0713     0.0824     0.0103   1.9158e-12
HC_6.2                         15721     0.0983      0.108     0.0108   4.6077e-20
HC_6.3                         15721     0.0872     0.0978     0.0106   1.0002e-16
HC_6.4                         15721     0.0943      0.104     0.0108   1.1385e-18
HC_6.5                         15721      0.101      0.108      0.011    5.093e-20
HC_6.6                         15721     0.0817     0.0914     0.0106   8.0618e-15
HC_6.7                         15721     0.0804     0.0885     0.0108   4.8451e-14
HC_6.8                         15721     0.0835     0.0908     0.0109   1.0407e-14
HC_7.1                         15721     0.0188     0.0211     0.0106     0.038128
HC_7.2                         15721     0.0239     0.0261     0.0109     0.013999
HC_7.3                         15721      0.019     0.0204     0.0111     0.042575
HC_8.1                         15721     0.0327      0.035     0.0111    0.0016509
HC_8.2                         15721     0.0413     0.0441     0.0111   0.00010551
HC_8.3                         15721     0.0355     0.0388     0.0109   0.00057168
HC_8.4                         15721     0.0374       0.04     0.0112   0.00040236
HC_9.1                         15721     0.0244     0.0263      0.011     0.013482
HC_9.2                         15721     0.0323     0.0341     0.0113    0.0020995
HC_9.3                         15721     0.0256      0.028     0.0108    0.0090825
HC_9.4                         15721     0.0388     0.0421     0.0109    0.0001967
PC_1.1                         15721     0.0899     0.0986     0.0108   6.1116e-17
PC_1.3                         15721      0.106      0.116     0.0109   1.5143e-22
PC_1.4                         15721        0.1      0.111     0.0107   4.8285e-21
PC_1.5                         15721        0.1      0.109     0.0109   2.7324e-20
PC_1.6                         15721      0.113      0.121     0.0112   3.2976e-24
PC_1.7                         15721      0.114      0.124     0.0109   1.2262e-25
PC_1.8                         15721      0.113      0.126     0.0107   1.9233e-26
PC_1.9                         15721      0.117      0.129     0.0108   1.1931e-27
PC_10.1                        15721     0.0483     0.0528     0.0109   4.4345e-06
PC_10.3                        15721     0.0349     0.0377      0.011    0.0007469
PC_11.1                        15721     0.0399     0.0445     0.0106   8.4748e-05
PC_12.1                        15721   0.000301   0.000329     0.0109      0.48896
PC_12.2                        15721    0.00809    0.00883     0.0109      0.22855
PC_12.3                        15721    0.00269    0.00296     0.0108      0.40165
PC_12.4                        15721    -0.0123    -0.0132     0.0111      0.86725
PC_13.1                        15721     0.0075    0.00819     0.0108      0.24459
PC_13.3                        15721   0.000506   0.000542     0.0111      0.48176
PC_14.1                        15721     0.0186     0.0204     0.0108     0.042655
PC_2.1                         15721      0.121      0.135     0.0106   4.2477e-30
PC_2.10                        15721      0.106      0.119     0.0106   7.8787e-24
PC_2.11                        15721      0.105      0.118     0.0105   1.1281e-23
PC_2.12                        15721      0.105      0.115     0.0108   2.5914e-22
PC_2.13                        15721      0.107      0.121     0.0105   1.6644e-24
PC_2.14                        15721      0.109      0.122     0.0106   5.2227e-25
PC_2.15                        15721       0.11      0.119      0.011   7.0358e-24
PC_2.16                        15721      0.108       0.12     0.0108   4.4001e-24
PC_2.17                        15721      0.107      0.119     0.0107   5.6463e-24
PC_2.18                        15721      0.117      0.129     0.0107   1.0447e-27
PC_2.2                         15721      0.111      0.123     0.0107   1.6444e-25
PC_2.3                         15721      0.109      0.117     0.0111   3.8646e-23
PC_2.4                         15721      0.111      0.123     0.0107    2.149e-25
PC_2.5                         15721     0.0998      0.113     0.0105   9.0387e-22
PC_2.6                         15721      0.102      0.115     0.0107    4.477e-22
PC_2.7                         15721     0.0937      0.105     0.0106   6.4621e-19
PC_2.8                         15721      0.126      0.133     0.0112   3.2531e-29
PC_2.9                         15721      0.106      0.118     0.0106   1.3386e-23
PC_3.1                         15721      0.099      0.108     0.0109   4.6848e-20
PC_3.10                        15721      0.101       0.11     0.0109   1.2015e-20
PC_3.2                         15721      0.111      0.121     0.0109    1.213e-24
PC_3.3                         15721      0.108      0.119     0.0108   1.1725e-23
PC_3.4                         15721      0.115      0.127     0.0108   1.4011e-26
PC_3.5                         15721      0.112      0.123      0.011   6.6256e-25
PC_3.8                         15721      0.113      0.123      0.011    4.417e-25
PC_3.9                         15721      0.112      0.122      0.011   8.0923e-25
PC_4.1                         15721      0.102       0.11     0.0111    2.391e-20
PC_4.2                         15721     0.0963      0.104     0.0111   2.0662e-18
PC_4.3                         15721     0.0898     0.0967     0.0111   3.0693e-16
PC_4.4                         15721     0.0784     0.0834     0.0112    1.429e-12
PC_4.5                         15721     0.0958      0.102     0.0112   6.7041e-18
PC_4.7                         15721     0.0903      0.096     0.0112   4.4621e-16
PC_4.8                         15721     0.0879     0.0957     0.0109   5.1499e-16
PC_4.9                         15721     0.0847     0.0921      0.011    6.279e-15
PC_5.2                         15721     0.0973      0.107     0.0109   2.1142e-19
PC_5.3                         15721     0.0942      0.102      0.011   5.0494e-18
PC_5.5                         15721     0.0886     0.0964      0.011   4.5699e-16
PC_5.6                         15721     0.0967      0.105     0.0111   1.2688e-18
PC_6.1                         15721     0.0961      0.107     0.0107   1.2467e-19
PC_6.3                         15721      0.105      0.112     0.0112   4.0988e-21
PC_6.5                         15721      0.103      0.114     0.0107   5.1391e-22
PC_6.6                         15721      0.106      0.116     0.0109   1.8019e-22
PC_6.7                         15721      0.102       0.11      0.011   9.0114e-21
PC_7.1                         15721     0.0785     0.0847     0.0111   6.4498e-13
PC_7.2                         15721     0.0871      0.095     0.0109   8.8578e-16
PC_7.3                         15721     0.0871      0.094      0.011    1.289e-15
PC_8.1                         15721     0.0267     0.0298     0.0106    0.0059748
PC_8.2                         15721     0.0207     0.0228     0.0108     0.027191
PC_8.3                         15721     0.0304     0.0331     0.0109    0.0026797
PC_9.1                         15721     0.0422     0.0457      0.011    6.133e-05
PC_9.3                         15721     0.0488     0.0521     0.0111   6.0528e-06
PC_9.4                         15721     0.0385      0.042     0.0109    0.0002114
PC_9.5                         15721     0.0463      0.049     0.0112   1.8446e-05
SN_10.1                        15721     0.0222     0.0247     0.0107     0.019165
SN_10.2                        15721     0.0329     0.0362     0.0108     0.001197
SN_10.3                        15721     0.0281     0.0302     0.0111    0.0055466
SN_10.4                        15721     0.0299      0.033     0.0108    0.0028158
SN_10.5                        15721      0.048     0.0523     0.0109   5.5421e-06
SN_11.1                        15721     0.0367     0.0385     0.0113   0.00058226
SN_12.1                        15721   -0.00947    -0.0103     0.0109      0.80677
SN_12.3                        15721    0.00463    0.00505     0.0109      0.33543
SN_12.4                        15721    0.00209    0.00229     0.0108      0.42353
SN_13.1                        15721  -1.56e-05  -1.67e-05     0.0111      0.50056
SN_13.3                        15721   -0.00335   -0.00362      0.011      0.61964
SN_13.4                        15721   -0.00936   -0.00989     0.0112      0.79744
SN_2.1                         15721     0.0733     0.0797     0.0109   1.0231e-11
SN_3.1                         15721     0.0763     0.0823      0.011   2.3638e-12
SN_3.10                        15721     0.0673     0.0755     0.0106    1.109e-10
SN_3.11                        15721     0.0743     0.0815     0.0109   5.1015e-12
SN_3.12                        15721     0.0825     0.0907     0.0108   1.4909e-14
SN_3.13                        15721     0.0783     0.0877     0.0106   8.3009e-14
SN_3.14                        15721     0.0798      0.088     0.0108   7.2282e-14
SN_3.15                        15721     0.0706     0.0791     0.0106   1.4744e-11
SN_3.16                        15721     0.0712     0.0782     0.0109   3.1191e-11
SN_3.17                        15721     0.0811     0.0873      0.011   1.1408e-13
SN_3.18                        15721     0.0819     0.0908     0.0108   1.4486e-14
SN_3.19                        15721     0.0756     0.0809     0.0112    6.633e-12
SN_3.3                         15721     0.0737      0.083     0.0106    1.731e-12
SN_3.6                         15721     0.0676     0.0741     0.0109   2.5794e-10
SN_3.7                         15721      0.055     0.0602     0.0109   2.2172e-07
SN_3.9                         15721     0.0734     0.0799      0.011   1.1629e-11
SN_4.1                         15721     0.0618     0.0678     0.0108   6.0564e-09
SN_4.3                         15721     0.0707     0.0767      0.011   6.3336e-11
SN_4.5                         15721     0.0779     0.0843      0.011   8.3793e-13
SN_4.7                         15721     0.0767      0.082     0.0112   3.5835e-12
SN_4.8                         15721     0.0694     0.0755      0.011   1.3383e-10
SN_4.9                         15721     0.0692     0.0753     0.0109   1.2422e-10
SN_5.1                         15721     0.0392      0.041     0.0114   0.00028257
SN_5.2                         15721      0.044     0.0463     0.0113   5.0531e-05
