Lvl1	Lvl2	Lvl3	Lvl4	Lvl5	Description
Glia	CNS glia	Oligodendrocytes	Oligodendrocytes	NFOL2	Newly formed oligodendrocytes (NFOL), pons/medulla specific
Glia	CNS glia	Oligodendrocytes	Oligodendrocytes	COP2	Committed oligodendrocytes cells (COP), pons/medulla specific
Glia	CNS glia	Oligodendrocytes	Oligodendrocytes	COP1	Committed oligodendrocytes cells (COP)
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Cholinergic and monoaminergic neurons	HBSER2	Serotonergic neurons, hindbrain
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Cholinergic and monoaminergic neurons	HBSER1	Serotonergic neurons, hindbrain
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Cholinergic and monoaminergic neurons	HBSER3	Serotonergic neurons, hindbrain
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Cholinergic and monoaminergic neurons	HBSER4	Serotonergic neurons, hindbrain
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Cholinergic and monoaminergic neurons	HBSER5	Serotonergic neurons, hindbrain
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU15	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU16	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU5	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU4	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU22	Excitatory neurons, amygdala
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU23	Excitatory neurons, hippocampus CA3
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU24	Excitatory neurons, hippocampus CA1
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU17	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU18	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU19	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU2	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU3	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU14	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU13	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU21	Excitatory neurons, hippocampus CA1
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU10	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU11	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU20	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU12	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU9	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU8	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU7	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	TEINH10	R-LM border Cck interneurons, cortex/hippocampus
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	TEINH11	R-LM border Cck interneurons, cortex/hippocampus
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	TEINH12	Non-border Cck interneurons, cortex/hippocampus
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	TEINH9	Non-border Cck interneurons, hippocampus
Neurons	CNS neurons	Telencephalon interneurons	Olfactory inhibitory neurons	OBINH5	External plexiform layer interneuron, olfactory bulb
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	TEINH5	Interneuron-selective interneurons, cortex/hippocampus
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	TEINH6	Interneuron-selective interneurons, cortex/hippocampus
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	TEINH7	Interneuron-selective interneurons, hippocampus
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	TEINH8	Interneuron-selective interneurons, hippocampus
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	TEINH4	Interneuron-selective interneurons, cortex/hippocampus
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	TEINH20	Inhibitory interneurons, hippocampus
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	TEINH13	Trilaminar cells, hippocampus
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	TEINH14	CGE-derived neurogliaform cells Cxcl14+, cortex/hippocampus
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	TEINH16	Ivy and MGE-derived neurogliaform cells, cortex/hippocampus
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	TEINH15	CGE-derived neurogliaform cells, cortex/hippocampus
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	TEINH19	Hippocamposeptal projection, cortex/hippocampus
Neurons	CNS neurons	Telencephalon interneurons	Telencephalon inhibitory interneurons	TEINH21	Sleep-active, long-range projection interneurons, cortex/hippocampus
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Cholinergic and monoaminergic neurons	HYPEP7	Pmch neurons, hypothalamus
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Cholinergic and monoaminergic neurons	HYPEP6	Orexin-producing neurons, hypothalamus
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Peptidergic neurons	DEINH8	Inhibitory neurons, hypothalamus
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Cholinergic and monoaminergic neurons	MBDOP1	Dopaminergic neurons, periaqueductal grey
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Cholinergic and monoaminergic neurons	MBDOP2	Dopaminergic neurons, ventral midbrain (SNc, VTA)
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Cholinergic and monoaminergic neurons	MEGLU14	Glutamatergic projection neurons of the raphe nucleus
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	MEGLU11	Excitatory neurons, midbrain
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	MEGLU10	Excitatory neurons, midbrain
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	MEGLU9	Excitatory neurons, midbrain
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	MEGLU8	Excitatory neurons, midbrain
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	MEGLU7	Excitatory neurons, midbrain
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	MEGLU6	Excitatory neurons, midbrain
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	DEGLU5	Excitatory neurons, midbrain
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	MEGLU2	Excitatory neurons, midbrain
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	MEGLU3	Excitatory neurons, midbrain
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	MEGLU1	Excitatory neurons, midbrain
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	MEGLU5	Excitatory neurons, midbrain
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	MEGLU4	Excitatory neurons, midbrain
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	DEGLU4	Excitatory neurons, thalamus
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	DEGLU3	Excitatory neurons, thalamus
Neurons	CNS neurons	Immature neural	Glutamatergic neuroblasts	OBNBL1	Neuroblasts, olfactory
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	MBCHO1	Cholinergic neurons, midbrain red nucleus
Neurons	CNS neurons	Hindbrain neurons	Hindbrain neurons	HBGLU9	Excitatory neurons, hindbrain
Neurons	CNS neurons	Spinal cord neurons	Spinal cord excitatory neurons	SCGLU1	Excitatory neurons, spinal cord
Neurons	CNS neurons	Spinal cord neurons	Spinal cord excitatory neurons	HBGLU10	Excitatory neurons, hindbrain
Neurons	CNS neurons	Spinal cord neurons	Spinal cord excitatory neurons	SCGLU10	Excitatory neurons, spinal cord
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	HBGLU2	Excitatory neurons, hindbrain
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	HBGLU3	Excitatory neurons, hindbrain
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Cholinergic and monoaminergic neurons	HBNOR	Noradrenergic neurons of the medulla
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	HBGLU1	Excitatory neurons, hindbrain
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	DEGLU2	Excitatory neurons, hypothalamus
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	DEGLU1	Excitatory neurons, thalamus
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting inhibitory neurons	MSN1	D1 medium spiny neurons, striatum
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting inhibitory neurons	MSN2	D2 medium spiny neurons, striatum
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting inhibitory neurons	MSN3	D2 medium spiny neurons, striatum
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting inhibitory neurons	MSN5	Patch D1/D2 neurons, striatum
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting inhibitory neurons	MSN4	D1 medium spiny neurons, striatum
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting inhibitory neurons	MSN6	Matrix D1 neurons, striatum
Glia	Neural crest-like glia	Neural crest-like glia	Olfactory ensheathing cells	OEC	Olfactory ensheathing cells
